date,investment,cy_invested,reserve_amt,current,today_pnl_amount,today_pnl_percentage,curr_pnl_amount,curr_pnl_percentage,cy_pnl_amount,cy_pnl_percentage,total_profit,total_loss,overall_pnl_amount,overall_pnl_percentage,total_booked_amt,total_booked_percentage,cy_booked_amt,cy_booked_percentage,py_booked_amt,py_booked_percentage,estimate_st,est_st_pnl_amount,est_st_pnl_percentage,estimate_lt,est_lt_pnl_amount,est_lt_pnl_percentage,cagr
06-12-2024,10102190,11413190,1700,12200238,19948,0.16,-199431,-1.75,760569,6.66,828759,-1028189,2071569,20.51,2271000,22.48,960000,7.87,1311000,12.98,19425149,7224911,59.22,24530839,12330601,101.07,17.61
10-12-2024,10102190,11413190,2500,12283079,80131,0.66,-183516,-1.61,843484,7.39,802490,-986008,2154484,21.33,2338000,23.14,1027000,8.36,1311000,12.98,19441419,7158340,58.28,24575759,12292680,100.08,18.11
11-12-2024,10102190,11413190,2500,12314905,34495,0.28,-151690,-1.33,875310,7.67,837993,-989681,2186310,21.64,2338000,23.14,1027000,8.34,1311000,12.98,19441419,7126514,57.87,24574013,12259108,99.55,18.32
16-12-2024,10102190,11413190,2500,12227280,29403,0.24,-239315,-2.1,787685,6.9,827639,-1066953,2098685,20.77,2338000,23.14,1027000,8.4,1311000,12.98,19441830,7214550,59,24576170,12348890,100.99,17.4
17-12-2024,10102190,11413190,2500,12098044,-131789,-1.08,-368551,-3.23,658449,5.77,762069,-1130618,1969449,19.5,2338000,23.14,1027000,8.49,1311000,12.98,19441419,7343375,60.7,24575046,12477002,103.13,16.33
20-12-2024,10102190,11413190,2500,11675816,-223199,-1.88,-790779,-6.93,236221,2.07,636983,-1427765,1547221,15.32,2338000,23.14,1027000,8.8,1311000,12.98,19441830,7766014,66.51,24571916,12896100,110.45,12.85
21-12-2024,10102190,11413190,2500,11676518,-221905,-1.86,-790077,-6.92,236923,2.08,636443,-1426520,1547923,15.32,2338000,23.14,1027000,8.8,1311000,12.98,19441830,7765312,66.5,24573711,12897193,110.45,12.83
27-12-2024,10302190,11613190,3100,11845645,-177,0,-858744,-7.39,207256,1.78,573180,-1431927,1518256,14.74,2377000,23.07,1066000,9,1311000,12.73,19594291,7748646,65.41,24929116,13083471,110.45,12.4
30-12-2024,10302190,11613190,3100,11778728,-66917,-0.56,-925661,-7.97,140339,1.21,533042,-1458704,1451339,14.09,2377000,23.07,1066000,9.05,1311000,12.73,18927436,7148708,60.69,24712189,12933461,109.8,11.79
31-12-2024,10302190,11613190,3100,11814394,33362,0.28,-889995,-7.66,176005,1.52,554111,-1444108,1487005,14.43,2377000,23.07,1066000,9.02,1311000,12.73,19035673,7221279,61.12,24712189,12897795,109.17,12.04
01-01-2025,10302190,11613190,3100,11950129,135735,1.15,-754260,-6.49,311740,2.68,584764,-1339026,1622740,15.75,2377000,23.07,1066000,8.92,1311000,12.73,19070574,7120445,59.58,24710393,12760264,106.78,13.07
02-01-2025,10302190,11613190,3100,12075972,125843,1.05,-628417,-5.41,437583,3.77,637395,-1265811,1748583,16.97,2377000,23.07,1066000,8.83,1311000,12.73,19070574,6994602,57.92,24708647,12632675,104.61,14
03-01-2025,10392190,11703190,3000,12162743,2527,0.02,-649906,-5.55,437094,3.73,610848,-1260761,1748094,16.82,2398000,23.08,1087000,8.94,1311000,12.62,19209748,7047005,57.94,24776026,12613283,103.7,13.95
06-01-2025,10392190,11703190,3000,11855983,-306760,-2.52,-956666,-8.17,130334,1.11,525337,-1482003,1441334,13.87,2398000,23.08,1087000,9.17,1311000,12.62,18673012,6817029,57.5,24771771,12915788,108.94,11.5
07-01-2025,10392190,11703190,0,11962074,108384,0.91,-914929,-7.82,235071,2.01,480610,-1395540,1546071,14.88,2461000,23.68,1150000,9.61,1311000,12.62,18708116,6746042,56.4,24810448,12848374,107.41,12.29
08-01-2025,10392190,11703190,0,11905854,-56220,-0.47,-971149,-8.3,178851,1.53,459715,-1430865,1489851,14.34,2461000,23.68,1150000,9.66,1311000,12.62,18708116,6802262,57.13,24811161,12905307,108.39,11.83
10-01-2025,10392190,11703190,0,11642800,-207641,-1.75,-1234203,-10.55,-84203,-0.72,408033,-1642237,1226797,11.8,2461000,23.68,1150000,9.88,1311000,12.62,18690893,7048093,60.54,24799634,13156834,113,9.72
13-01-2025,10392190,11703190,0,11271529,-371271,-3.19,-1605474,-13.72,-455474,-3.89,314395,-1919872,855526,8.23,2461000,23.68,1150000,10.2,1311000,12.62,18690893,7419364,65.82,24798942,13527413,120.01,6.84
